question_text,user_id,response
3. How old are you?,007fa99e-01f3-492a-b188-efa046c15734,No Preference
4. Which colors do you like?,007fa99e-01f3-492a-b188-efa046c15734,Black
2. What's your fit?,007fa99e-01f3-492a-b188-efa046c15734,Medium
1. What are you looking for?,007fa99e-01f3-492a-b188-efa046c15734,Women's Styles
5. When was your last eye exam?,007fa99e-01f3-492a-b188-efa046c15734,<1 Year
4. Which colors do you like?,00bc61d3-c8c8-477a-b8c9-d31690f89b01,Crystal
3. How old are you?,00bc61d3-c8c8-477a-b8c9-d31690f89b01,Square
1. What are you looking for?,00bc61d3-c8c8-477a-b8c9-d31690f89b01,Men's Styles
2. What's your fit?,00bc61d3-c8c8-477a-b8c9-d31690f89b01,Narrow
5. When was your last eye exam?,00bc61d3-c8c8-477a-b8c9-d31690f89b01,3+ Years
1. What are you looking for?,00dbf42a-490e-4feb-a8cc-db1b24855e21,Women's Styles
2. What's your fit?,00dbf42a-490e-4feb-a8cc-db1b24855e21,Narrow
1. What are you looking for?,00ea94ce-cada-41f1-ad44-cef1511041eb,Women's Styles
2. What's your fit?,00ea94ce-cada-41f1-ad44-cef1511041eb,Wide
2. What's your fit?,0139878a-58c5-4386-be80-59bfd5fdd0b3,Medium
1. What are you looking for?,0139878a-58c5-4386-be80-59bfd5fdd0b3,Men's Styles
2. What's your fit?,02e2e2cb-2f09-4bee-a748-4fe962a6f555,Wide
3. How old are you?,02e2e2cb-2f09-4bee-a748-4fe962a6f555,Rectangular
4. Which colors do you like?,02e2e2cb-2f09-4bee-a748-4fe962a6f555,Black
1. What are you looking for?,02e2e2cb-2f09-4bee-a748-4fe962a6f555,I'm not sure. Let's skip it.
4. Which colors do you like?,03f3dbc5-02e7-4149-a6d2-7c768ec9d8f7,Tortoise
2. What's your fit?,03f3dbc5-02e7-4149-a6d2-7c768ec9d8f7,Narrow
1. What are you looking for?,03f3dbc5-02e7-4149-a6d2-7c768ec9d8f7,Men's Styles
3. How old are you?,03f3dbc5-02e7-4149-a6d2-7c768ec9d8f7,Square
5. When was your last eye exam?,03f3dbc5-02e7-4149-a6d2-7c768ec9d8f7,1-3 Years
2. What's your fit?,041f0194-5cf6-44a7-8356-fabdb090cc50,Narrow
1. What are you looking for?,041f0194-5cf6-44a7-8356-fabdb090cc50,Women's Styles
4. Which colors do you like?,041f0194-5cf6-44a7-8356-fabdb090cc50,Tortoise
3. How old are you?,041f0194-5cf6-44a7-8356-fabdb090cc50,Round
4. Which colors do you like?,04229861-0fc8-4362-9109-c2832f772b07,Crystal
5. When was your last eye exam?,04229861-0fc8-4362-9109-c2832f772b07,<1 Year
2. What's your fit?,04229861-0fc8-4362-9109-c2832f772b07,Medium
3. How old are you?,04229861-0fc8-4362-9109-c2832f772b07,No Preference
